,ENTIDAD,GINI
28,tlaxcala,0.4186666666666667
16,morelos,0.44
5,colima,0.4406666666666667
10,guanajuato,0.4483333333333333
27,tamaulipas,0.4643333333333333
14,mexico,0.4663333333333333
13,jalisco,0.4673333333333333
1,baja california,0.4683333333333333
15,michoacan,0.47100000000000003
9,durango,0.4716666666666667
24,sinaloa,0.47266666666666673
7,chihuahua,0.47700000000000004
2,baja california sur,0.47733333333333333
25,sonora,0.47733333333333333
30,yucatan,0.47800000000000004
18,nuevo leon,0.47866666666666663
4,coahuila,0.48100000000000004
22,quintana roo,0.48266666666666663
12,hidalgo,0.48300000000000004
26,tabasco,0.48333333333333334
17,nayarit,0.4856666666666667
0,aguascalientes,0.49066666666666664
23,san luis potosi,0.49200000000000005
21,queretaro,0.49266666666666664
8,ciudad de mexico,0.49366666666666664
32,estados unidos mexicanos,0.5033333333333334
29,veracruz,0.5053333333333333
19,oaxaca,0.511
11,guerrero,0.5126666666666666
20,puebla,0.5126666666666667
3,campeche,0.5156666666666666
31,zacatecas,0.5180000000000001
6,chiapas,0.531
